DOI:10.1007/s00259-020-05005-4
DOI:10.1186/s12967-025-07551-7
DOI:10.1186/s12967-023-04454-3
DOI:10.1186/s12967-022-03665-4
DOI:10.1007/s10142-025-01646-6
DOI:10.1186/s13148-025-01928-7
DOI:10.1021/acs.molpharmaceut.4c01285
DOI:10.2967/jnumed.124.268487
DOI:10.1021/acs.jmedchem.5c01260
DOI:10.1016/j.lungcan.2023.107449
